Geography Id,Type,Name,Variable,Variable Description,Data Collection Period,Data Collection End Date,Sex,Age,Educational Attainment,HS Diploma,College Degree,Population Estimate,Change Rate,Location
0500000US19195,county,"Worth County, Iowa",B15001_011E,Male - 25 to 34 years,2011-2015,12/31/2015,Male,25 to 34 years,Any,NA,NA,377,,POINT (-93.248533 43.373491),0500000US19195-2015-B15001_011E
0500000US19171,county,"Tama County, Iowa",B15001_037E,Male - 65 years and over - 9th to 12th grade no diploma,2009-2013,12/31/2013,Male,65 years and over,9th to 12th Grade - No Diploma,No,No,126,,POINT (-92.529411 42.074848),0500000US19171-2013-B15001_037E
0500000US19147,county,"Palo Alto County, Iowa",B15001_001E,Total,2010-2014,12/31/2014,Both,All,Any,NA,NA,7244,,POINT (-94.669055 43.075337),0500000US19147-2014-B15001_001E
0500000US19035,county,"Cherokee County, Iowa",B15001_007E,Male - 18 to 24 years - Some college no degree,2011-2015,12/31/2015,Male,18 to 24 years,Some College - No Degree,Yes,No,106,,POINT (-95.633262 42.742737),0500000US19035-2015-B15001_007E
0500000US19015,county,"Boone County, Iowa",B15001_038E,Male - 65 years and over - High school graduate (includes equivalency),2010-2014,12/31/2014,Male,65 years and over,High School Diploma or Equivalent,Yes,No,883,,POINT (-93.938358 42.038642),0500000US19015-2014-B15001_038E
0500000US19053,county,"Decatur County, Iowa",B15001_018E,Male - 25 to 34 years - Graduate or professional degree,2011-2015,12/31/2015,Male,25 to 34 years,Graduate or Professional Degree,Yes,Yes,9,,POINT (-93.78458 40.736379),0500000US19053-2015-B15001_018E
0500000US19193,county,"Woodbury County, Iowa",B15001_010E,Male - 18 to 24 years - Graduate or professional degree,2008-2012,12/31/2012,Male,18 to 24 years,Graduate or Professional Degree,Yes,Yes,22,,POINT (-96.053296 42.39322),0500000US19193-2012-B15001_010E
0500000US19003,county,"Adams County, Iowa",B15001_012E,Male - 25 to 34 years - Less than 9th grade,2010-2014,12/31/2014,Male,25 to 34 years,Less than 9th Grade,No,No,3,,POINT (-94.696906 41.021656),0500000US19003-2014-B15001_012E
0400000US19,state,Iowa,B15001_029E,Male - 45 to 64 years - 9th to 12th grade no diploma,2013-2017,12/31/2017,Male,45 to 64 years,9th to 12th Grade - No Diploma,No,No,20614,-0.01,POINT (-93.4933473 42.0700243),0400000US19-2017-B15001_029E
0500000US19149,county,"Plymouth County, Iowa",B15001_025E,Male - 35 to 44 years - Bachelor's degree,2008-2012,12/31/2012,Male,35 to 44 years,Bachelors Degree,Yes,Yes,250,,POINT (-96.215864 42.737585),0500000US19149-2012-B15001_025E
0500000US19149,county,"Plymouth County, Iowa",B15001_017E,Male - 25 to 34 years - Bachelor's degree,2008-2012,12/31/2012,Male,25 to 34 years,Bachelors Degree,Yes,Yes,185,,POINT (-96.215864 42.737585),0500000US19149-2012-B15001_017E
0500000US19189,county,"Winnebago County, Iowa",B15001_021E,Male - 35 to 44 years - 9th to 12th grade no diploma,2008-2012,12/31/2012,Male,35 to 44 years,9th to 12th Grade - No Diploma,No,No,17,,POINT (-93.743488 43.378124),0500000US19189-2012-B15001_021E
0500000US19059,county,"Dickinson County, Iowa",B15001_041E,Male - 65 years and over - Bachelor's degree,2011-2015,12/31/2015,Male,65 years and over,Bachelors Degree,Yes,Yes,346,,POINT (-95.196057 43.389611),0500000US19059-2015-B15001_041E
0500000US19175,county,"Union County, Iowa",B15001_019E,Male - 35 to 44 years,2009-2013,12/31/2013,Male,35 to 44 years,Any,NA,NA,650,,POINT (-94.245091 41.02855),0500000US19175-2013-B15001_019E
0500000US19075,county,"Grundy County, Iowa",B15001_022E,Male - 35 to 44 years - High school graduate (includes equivalency),2008-2012,12/31/2012,Male,35 to 44 years,High School Diploma or Equivalent,Yes,No,172,,POINT (-92.790261 42.403323),0500000US19075-2012-B15001_022E
0500000US19191,county,"Winneshiek County, Iowa",B15001_033E,Male - 45 to 64 years - Bachelor's degree,2011-2015,12/31/2015,Male,45 to 64 years,Bachelors Degree,Yes,Yes,347,,POINT (-91.850788 43.292989),0500000US19191-2015-B15001_033E
0500000US19173,county,"Taylor County, Iowa",B15001_021E,Male - 35 to 44 years - 9th to 12th grade no diploma,2010-2014,12/31/2014,Male,35 to 44 years,9th to 12th Grade - No Diploma,No,No,9,,POINT (-94.697108 40.737949),0500000US19173-2014-B15001_021E
0500000US19083,county,"Hardin County, Iowa",B15001_035E,Male - 65 years and over,2008-2012,12/31/2012,Male,65 years and over,Any,NA,NA,1525,,POINT (-93.241669 42.390208),0500000US19083-2012-B15001_035E
0500000US19029,county,"Cass County, Iowa",B15001_001E,Total,2010-2014,12/31/2014,Both,All,Any,NA,NA,10593,,POINT (-94.933302 41.333824),0500000US19029-2014-B15001_001E
0500000US19135,county,"Monroe County, Iowa",B15001_006E,Male - 18 to 24 years - High school graduate (includes equivalency),2008-2012,12/31/2012,Male,18 to 24 years,High School Diploma or Equivalent,Yes,No,72,,POINT (-92.869642 41.028847),0500000US19135-2012-B15001_006E
0500000US19043,county,"Clayton County, Iowa",B15001_039E,Male - 65 years and over - Some college no degree,2011-2015,12/31/2015,Male,65 years and over,Some College - No Degree,Yes,No,219,,POINT (-91.323576 42.840985),0500000US19043-2015-B15001_039E
0500000US19179,county,"Wapello County, Iowa",B15001_022E,Male - 35 to 44 years - High school graduate (includes equivalency),2009-2013,12/31/2013,Male,35 to 44 years,High School Diploma or Equivalent,Yes,No,962,,POINT (-92.409482 41.031263),0500000US19179-2013-B15001_022E
0500000US19119,county,"Lyon County, Iowa",B15001_002E,Male,2010-2014,12/31/2014,Male,All,Any,NA,NA,4151,,POINT (-96.207201 43.38358),0500000US19119-2014-B15001_002E
0500000US19049,county,"Dallas County, Iowa",B15001_034E,Male - 45 to 64 years - Graduate or professional degree,2010-2014,12/31/2014,Male,45 to 64 years,Graduate or Professional Degree,Yes,Yes,1081,,POINT (-94.040707 41.685321),0500000US19049-2014-B15001_034E
0500000US19091,county,"Humboldt County, Iowa",B15001_032E,Male - 45 to 64 years - Associate's degree,2011-2015,12/31/2015,Male,45 to 64 years,Associates Degree,Yes,Yes,94,,POINT (-94.202775 42.782221),0500000US19091-2015-B15001_032E
0500000US19013,county,"Black Hawk County, Iowa",B15001_037E,Male - 65 years and over - 9th to 12th grade no diploma,2008-2012,12/31/2012,Male,65 years and over,9th to 12th Grade - No Diploma,No,No,660,,POINT (-92.308033 42.471541),0500000US19013-2012-B15001_037E
0500000US19047,county,"Crawford County, Iowa",B15001_022E,Male - 35 to 44 years - High school graduate (includes equivalency),2011-2015,12/31/2015,Male,35 to 44 years,High School Diploma or Equivalent,Yes,No,214,,POINT (-95.38909 42.043119),0500000US19047-2015-B15001_022E
0500000US19097,county,"Jackson County, Iowa",B15001_008E,Male - 18 to 24 years - Associate's degree,2009-2013,12/31/2013,Male,18 to 24 years,Associates Degree,Yes,Yes,112,,POINT (-90.574596 42.164281),0500000US19097-2013-B15001_008E
0500000US19107,county,"Keokuk County, Iowa",B15001_033E,Male - 45 to 64 years - Bachelor's degree,2010-2014,12/31/2014,Male,45 to 64 years,Bachelors Degree,Yes,Yes,135,,POINT (-92.167721 41.331182),0500000US19107-2014-B15001_033E
0500000US19073,county,"Greene County, Iowa",B15001_034E,Male - 45 to 64 years - Graduate or professional degree,2010-2014,12/31/2014,Male,45 to 64 years,Graduate or Professional Degree,Yes,Yes,71,,POINT (-94.388703 42.042494),0500000US19073-2014-B15001_034E
0500000US19139,county,"Muscatine County, Iowa",B15001_041E,Male - 65 years and over - Bachelor's degree,2009-2013,12/31/2013,Male,65 years and over,Bachelors Degree,Yes,Yes,278,,POINT (-91.118699 41.483776),0500000US19139-2013-B15001_041E
0500000US19165,county,"Shelby County, Iowa",B15001_022E,Male - 35 to 44 years - High school graduate (includes equivalency),2011-2015,12/31/2015,Male,35 to 44 years,High School Diploma or Equivalent,Yes,No,164,,POINT (-95.308917 41.679014),0500000US19165-2015-B15001_022E
0500000US19009,county,"Audubon County, Iowa",B15001_034E,Male - 45 to 64 years - Graduate or professional degree,2010-2014,12/31/2014,Male,45 to 64 years,Graduate or Professional Degree,Yes,Yes,38,,POINT (-94.904312 41.679178),0500000US19009-2014-B15001_034E
0500000US19153,county,"Polk County, Iowa",B15001_018E,Male - 25 to 34 years - Graduate or professional degree,2010-2014,12/31/2014,Male,25 to 34 years,Graduate or Professional Degree,Yes,Yes,2440,,POINT (-93.568971 41.684816),0500000US19153-2014-B15001_018E
0500000US19191,county,"Winneshiek County, Iowa",B15001_012E,Male - 25 to 34 years - Less than 9th grade,2010-2014,12/31/2014,Male,25 to 34 years,Less than 9th Grade,No,No,28,,POINT (-91.850788 43.292989),0500000US19191-2014-B15001_012E
0500000US19059,county,"Dickinson County, Iowa",B15001_026E,Male - 35 to 44 years - Graduate or professional degree,2008-2012,12/31/2012,Male,35 to 44 years,Graduate or Professional Degree,Yes,Yes,95,,POINT (-95.196057 43.389611),0500000US19059-2012-B15001_026E
0500000US19177,county,"Van Buren County, Iowa",B15001_005E,Male - 18 to 24 years - 9th to 12th grade no diploma,2010-2014,12/31/2014,Male,18 to 24 years,9th to 12th Grade - No Diploma,No,No,56,,POINT (-91.952943 40.754117),0500000US19177-2014-B15001_005E
0500000US19151,county,"Pocahontas County, Iowa",B15001_003E,Male - 18 to 24 years,2010-2014,12/31/2014,Male,18 to 24 years,Any,NA,NA,258,,POINT (-94.678279 42.734033),0500000US19151-2014-B15001_003E
0500000US19019,county,"Buchanan County, Iowa",B15001_019E,Male - 35 to 44 years,2010-2014,12/31/2014,Male,35 to 44 years,Any,NA,NA,1247,,POINT (-91.838666 42.470328),0500000US19019-2014-B15001_019E
0500000US19019,county,"Buchanan County, Iowa",B15001_029E,Male - 45 to 64 years - 9th to 12th grade no diploma,2011-2015,12/31/2015,Male,45 to 64 years,9th to 12th Grade - No Diploma,No,No,109,,POINT (-91.838666 42.470328),0500000US19019-2015-B15001_029E
0500000US19119,county,"Lyon County, Iowa",B15001_040E,Male - 65 years and over - Associate's degree,2011-2015,12/31/2015,Male,65 years and over,Associates Degree,Yes,Yes,32,,POINT (-96.207201 43.38358),0500000US19119-2015-B15001_040E
0500000US19067,county,"Floyd County, Iowa",B15001_037E,Male - 65 years and over - 9th to 12th grade no diploma,2011-2015,12/31/2015,Male,65 years and over,9th to 12th Grade - No Diploma,No,No,123,,POINT (-92.787367 43.052741),0500000US19067-2015-B15001_037E
0500000US19045,county,"Clinton County, Iowa",B15001_018E,Male - 25 to 34 years - Graduate or professional degree,2009-2013,12/31/2013,Male,25 to 34 years,Graduate or Professional Degree,Yes,Yes,124,,POINT (-90.534243 41.898073),0500000US19045-2013-B15001_018E
0500000US19183,county,"Washington County, Iowa",B15001_037E,Male - 65 years and over - 9th to 12th grade no diploma,2010-2014,12/31/2014,Male,65 years and over,9th to 12th Grade - No Diploma,No,No,104,,POINT (-91.725052 41.329401),0500000US19183-2014-B15001_037E
0500000US19177,county,"Van Buren County, Iowa",B15001_011E,Male - 25 to 34 years,2008-2012,12/31/2012,Male,25 to 34 years,Any,NA,NA,412,,POINT (-91.952943 40.754117),0500000US19177-2012-B15001_011E
0500000US19057,county,"Des Moines County, Iowa",B15001_032E,Male - 45 to 64 years - Associate's degree,2011-2015,12/31/2015,Male,45 to 64 years,Associates Degree,Yes,Yes,613,,POINT (-91.186925 40.915339),0500000US19057-2015-B15001_032E
0500000US19029,county,"Cass County, Iowa",B15001_038E,Male - 65 years and over - High school graduate (includes equivalency),2011-2015,12/31/2015,Male,65 years and over,High School Diploma or Equivalent,Yes,No,713,,POINT (-94.933302 41.333824),0500000US19029-2015-B15001_038E
0400000US19,state,Iowa,B15001_057E,Female - 25 to 34 years - Associate's degree,2015-2019,12/31/2019,Female,25 to 34 years,Associates Degree,Yes,Yes,28073,-0.06,POINT (-93.4933473 42.0700243),0400000US19-2019-B15001_057E
0500000US19137,county,"Montgomery County, Iowa",B15001_030E,Male - 45 to 64 years - High school graduate (includes equivalency),2008-2012,12/31/2012,Male,45 to 64 years,High School Diploma or Equivalent,Yes,No,523,,POINT (-95.15779 41.021735),0500000US19137-2012-B15001_030E
0500000US19055,county,"Delaware County, Iowa",B15001_022E,Male - 35 to 44 years - High school graduate (includes equivalency),2008-2012,12/31/2012,Male,35 to 44 years,High School Diploma or Equivalent,Yes,No,474,,POINT (-91.366767 42.472937),0500000US19055-2012-B15001_022E
0500000US19093,county,"Ida County, Iowa",B15001_018E,Male - 25 to 34 years - Graduate or professional degree,2011-2015,12/31/2015,Male,25 to 34 years,Graduate or Professional Degree,Yes,Yes,0,,POINT (-95.507421 42.39186),0500000US19093-2015-B15001_018E
0500000US19073,county,"Greene County, Iowa",B15001_025E,Male - 35 to 44 years - Bachelor's degree,2008-2012,12/31/2012,Male,35 to 44 years,Bachelors Degree,Yes,Yes,63,,POINT (-94.388703 42.042494),0500000US19073-2012-B15001_025E
0500000US19129,county,"Mills County, Iowa",B15001_032E,Male - 45 to 64 years - Associate's degree,2011-2015,12/31/2015,Male,45 to 64 years,Associates Degree,Yes,Yes,236,,POINT (-95.619101 41.033703),0500000US19129-2015-B15001_032E
0500000US19059,county,"Dickinson County, Iowa",B15001_040E,Male - 65 years and over - Associate's degree,2011-2015,12/31/2015,Male,65 years and over,Associates Degree,Yes,Yes,92,,POINT (-95.196057 43.389611),0500000US19059-2015-B15001_040E
0500000US19155,county,"Pottawattamie County, Iowa",B15001_019E,Male - 35 to 44 years,2008-2012,12/31/2012,Male,35 to 44 years,Any,NA,NA,5642,,POINT (-95.544905 41.340184),0500000US19155-2012-B15001_019E
0500000US19015,county,"Boone County, Iowa",B15001_036E,Male - 65 years and over - Less than 9th grade,2010-2014,12/31/2014,Male,65 years and over,Less than 9th Grade,No,No,69,,POINT (-93.938358 42.038642),0500000US19015-2014-B15001_036E
0500000US19145,county,"Page County, Iowa",B15001_042E,Male - 65 years and over - Graduate or professional degree,2008-2012,12/31/2012,Male,65 years and over,Graduate or Professional Degree,Yes,Yes,97,,POINT (-95.14429 40.73909),0500000US19145-2012-B15001_042E
0500000US19187,county,"Webster County, Iowa",B15001_026E,Male - 35 to 44 years - Graduate or professional degree,2008-2012,12/31/2012,Male,35 to 44 years,Graduate or Professional Degree,Yes,Yes,79,,POINT (-94.175831 42.433579),0500000US19187-2012-B15001_026E
0500000US19125,county,"Marion County, Iowa",B15001_037E,Male - 65 years and over - 9th to 12th grade no diploma,2008-2012,12/31/2012,Male,65 years and over,9th to 12th Grade - No Diploma,No,No,200,,POINT (-93.093849 41.331455),0500000US19125-2012-B15001_037E
0500000US19017,county,"Bremer County, Iowa",B15001_030E,Male - 45 to 64 years - High school graduate (includes equivalency),2008-2012,12/31/2012,Male,45 to 64 years,High School Diploma or Equivalent,Yes,No,1261,,POINT (-92.327356 42.780895),0500000US19017-2012-B15001_030E
0500000US19179,county,"Wapello County, Iowa",B15001_003E,Male - 18 to 24 years,2012-2016,12/31/2016,Male,18 to 24 years,Any,NA,NA,1681,,POINT (-92.409482 41.031263),0500000US19179-2016-B15001_003E
0500000US19111,county,"Lee County, Iowa",B15001_024E,Male - 35 to 44 years - Associate's degree,2009-2013,12/31/2013,Male,35 to 44 years,Associates Degree,Yes,Yes,148,,POINT (-91.477157 40.647588),0500000US19111-2013-B15001_024E
0500000US19093,county,"Ida County, Iowa",B15001_031E,Male - 45 to 64 years - Some college no degree,2008-2012,12/31/2012,Male,45 to 64 years,Some College - No Degree,Yes,No,238,,POINT (-95.507421 42.39186),0500000US19093-2012-B15001_031E
0500000US19101,county,"Jefferson County, Iowa",B15001_031E,Male - 45 to 64 years - Some college no degree,2010-2014,12/31/2014,Male,45 to 64 years,Some College - No Degree,Yes,No,301,,POINT (-91.96744 41.006384),0500000US19101-2014-B15001_031E
0500000US19155,county,"Pottawattamie County, Iowa",B15001_001E,Total,2009-2013,12/31/2013,Both,All,Any,NA,NA,70617,,POINT (-95.544905 41.340184),0500000US19155-2013-B15001_001E
0500000US19113,county,"Linn County, Iowa",B15001_040E,Male - 65 years and over - Associate's degree,2008-2012,12/31/2012,Male,65 years and over,Associates Degree,Yes,Yes,422,,POINT (-91.597674 42.077951),0500000US19113-2012-B15001_040E
0500000US19125,county,"Marion County, Iowa",B15001_015E,Male - 25 to 34 years - Some college no degree,2011-2015,12/31/2015,Male,25 to 34 years,Some College - No Degree,Yes,No,479,,POINT (-93.093849 41.331455),0500000US19125-2015-B15001_015E
0500000US19111,county,"Lee County, Iowa",B15001_015E,Male - 25 to 34 years - Some college no degree,2008-2012,12/31/2012,Male,25 to 34 years,Some College - No Degree,Yes,No,599,,POINT (-91.477157 40.647588),0500000US19111-2012-B15001_015E
0500000US19097,county,"Jackson County, Iowa",B15001_038E,Male - 65 years and over - High school graduate (includes equivalency),2010-2014,12/31/2014,Male,65 years and over,High School Diploma or Equivalent,Yes,No,841,,POINT (-90.574596 42.164281),0500000US19097-2014-B15001_038E
0500000US19147,county,"Palo Alto County, Iowa",B15001_004E,Male - 18 to 24 years - Less than 9th grade,2010-2014,12/31/2014,Male,18 to 24 years,Less than 9th Grade,No,No,0,,POINT (-94.669055 43.075337),0500000US19147-2014-B15001_004E
0500000US19153,county,"Polk County, Iowa",B15001_029E,Male - 45 to 64 years - 9th to 12th grade no diploma,2011-2015,12/31/2015,Male,45 to 64 years,9th to 12th Grade - No Diploma,No,No,2725,,POINT (-93.568971 41.684816),0500000US19153-2015-B15001_029E
0500000US19059,county,"Dickinson County, Iowa",B15001_014E,Male - 25 to 34 years - High school graduate (includes equivalency),2009-2013,12/31/2013,Male,25 to 34 years,High School Diploma or Equivalent,Yes,No,234,,POINT (-95.196057 43.389611),0500000US19059-2013-B15001_014E
0500000US19119,county,"Lyon County, Iowa",B15001_010E,Male - 18 to 24 years - Graduate or professional degree,2010-2014,12/31/2014,Male,18 to 24 years,Graduate or Professional Degree,Yes,Yes,0,,POINT (-96.207201 43.38358),0500000US19119-2014-B15001_010E
0500000US19121,county,"Madison County, Iowa",B15001_040E,Male - 65 years and over - Associate's degree,2010-2014,12/31/2014,Male,65 years and over,Associates Degree,Yes,Yes,35,,POINT (-94.015184 41.330622),0500000US19121-2014-B15001_040E
0500000US19145,county,"Page County, Iowa",B15001_028E,Male - 45 to 64 years - Less than 9th grade,2010-2014,12/31/2014,Male,45 to 64 years,Less than 9th Grade,No,No,88,,POINT (-95.14429 40.73909),0500000US19145-2014-B15001_028E
0500000US19071,county,"Fremont County, Iowa",B15001_001E,Total,2012-2016,12/31/2016,Both,All,Any,NA,NA,5473,,POINT (-95.599182 40.74259),0500000US19071-2016-B15001_001E
0500000US19137,county,"Montgomery County, Iowa",B15001_040E,Male - 65 years and over - Associate's degree,2009-2013,12/31/2013,Male,65 years and over,Associates Degree,Yes,Yes,19,,POINT (-95.15779 41.021735),0500000US19137-2013-B15001_040E
0500000US19067,county,"Floyd County, Iowa",B15001_040E,Male - 65 years and over - Associate's degree,2010-2014,12/31/2014,Male,65 years and over,Associates Degree,Yes,Yes,104,,POINT (-92.787367 43.052741),0500000US19067-2014-B15001_040E
0400000US19,state,Iowa,B15001_076E,Female - 65 years and over,2009-2013,12/31/2013,Female,65 years and over,Any,NA,NA,263177,,POINT (-93.4933473 42.0700243),0400000US19-2013-B15001_076E
0500000US19159,county,"Ringgold County, Iowa",B15001_023E,Male - 35 to 44 years - Some college no degree,2011-2015,12/31/2015,Male,35 to 44 years,Some College - No Degree,Yes,No,63,,POINT (-94.244251 40.735334),0500000US19159-2015-B15001_023E
0500000US19079,county,"Hamilton County, Iowa",B15001_004E,Male - 18 to 24 years - Less than 9th grade,2009-2013,12/31/2013,Male,18 to 24 years,Less than 9th Grade,No,No,7,,POINT (-93.709198 42.390768),0500000US19079-2013-B15001_004E
0500000US19195,county,"Worth County, Iowa",B15001_012E,Male - 25 to 34 years - Less than 9th grade,2009-2013,12/31/2013,Male,25 to 34 years,Less than 9th Grade,No,No,19,,POINT (-93.248533 43.373491),0500000US19195-2013-B15001_012E
0500000US19133,county,"Monona County, Iowa",B15001_016E,Male - 25 to 34 years - Associate's degree,2009-2013,12/31/2013,Male,25 to 34 years,Associates Degree,Yes,Yes,24,,POINT (-95.956566 42.049432),0500000US19133-2013-B15001_016E
0500000US19029,county,"Cass County, Iowa",B15001_030E,Male - 45 to 64 years - High school graduate (includes equivalency),2010-2014,12/31/2014,Male,45 to 64 years,High School Diploma or Equivalent,Yes,No,758,,POINT (-94.933302 41.333824),0500000US19029-2014-B15001_030E
0500000US19051,county,"Davis County, Iowa",B15001_037E,Male - 65 years and over - 9th to 12th grade no diploma,2011-2015,12/31/2015,Male,65 years and over,9th to 12th Grade - No Diploma,No,No,9,,POINT (-92.410345 40.748089),0500000US19051-2015-B15001_037E
0500000US19021,county,"Buena Vista County, Iowa",B15001_018E,Male - 25 to 34 years - Graduate or professional degree,2009-2013,12/31/2013,Male,25 to 34 years,Graduate or Professional Degree,Yes,Yes,50,,POINT (-95.141432 42.741522),0500000US19021-2013-B15001_018E
