Date of Crash,Crash Severity,Crashes
02/10/2014,Possible/Unknown,33
02/10/2014,Property Damage Only,155
02/10/2014,Minor Injury,13
02/10/2014,Major Injury,1
02/11/2014,Major Injury,2
02/11/2014,Possible/Unknown,23
02/11/2014,Minor Injury,10
02/11/2014,Property Damage Only,148
02/12/2014,Major Injury,2
02/12/2014,Property Damage Only,181
02/12/2014,Fatal,1
02/12/2014,Minor Injury,18
02/12/2014,Possible/Unknown,24
02/13/2014,Major Injury,1
02/13/2014,Fatal,1
02/13/2014,Possible/Unknown,37
02/13/2014,Minor Injury,17
02/13/2014,Property Damage Only,128
02/14/2014,Fatal,1
02/14/2014,Property Damage Only,247
02/14/2014,Minor Injury,17
02/14/2014,Possible/Unknown,39
02/14/2014,Major Injury,7
02/15/2014,Minor Injury,24
02/15/2014,Major Injury,3
02/15/2014,Property Damage Only,224
02/15/2014,Possible/Unknown,37
02/15/2014,Fatal,1
02/16/2014,Possible/Unknown,20
02/16/2014,Property Damage Only,83
02/16/2014,Minor Injury,4
02/16/2014,Major Injury,3
02/17/2014,Property Damage Only,173
02/17/2014,Major Injury,3
02/17/2014,Possible/Unknown,32
02/17/2014,Minor Injury,11
02/18/2014,Possible/Unknown,23
02/18/2014,Major Injury,6
02/18/2014,Minor Injury,14
02/18/2014,Property Damage Only,145
02/18/2014,Fatal,1
02/19/2014,Major Injury,8
02/19/2014,Property Damage Only,147
02/19/2014,Possible/Unknown,35
02/19/2014,Minor Injury,18
02/20/2014,Property Damage Only,179
02/20/2014,Possible/Unknown,34
02/20/2014,Minor Injury,15
02/20/2014,Major Injury,9
02/21/2014,Possible/Unknown,25
02/21/2014,Minor Injury,9
02/21/2014,Property Damage Only,133
02/22/2014,Property Damage Only,79
02/22/2014,Minor Injury,11
02/22/2014,Fatal,2
02/22/2014,Possible/Unknown,11
02/23/2014,Possible/Unknown,10
02/23/2014,Property Damage Only,48
02/23/2014,Minor Injury,6
02/23/2014,Major Injury,3
02/24/2014,Major Injury,3
02/24/2014,Minor Injury,13
02/24/2014,Possible/Unknown,25
02/24/2014,Property Damage Only,155
02/24/2014,Fatal,1
02/25/2014,Fatal,2
02/25/2014,Property Damage Only,151
02/25/2014,Minor Injury,15
02/25/2014,Possible/Unknown,26
02/25/2014,Major Injury,2
02/26/2014,Major Injury,2
02/26/2014,Property Damage Only,121
02/26/2014,Minor Injury,13
02/26/2014,Possible/Unknown,22
02/27/2014,Minor Injury,5
02/27/2014,Possible/Unknown,19
02/27/2014,Property Damage Only,85
02/28/2014,Minor Injury,16
02/28/2014,Property Damage Only,99
02/28/2014,Major Injury,5
02/28/2014,Possible/Unknown,21
03/01/2014,Major Injury,3
03/01/2014,Property Damage Only,226
03/01/2014,Possible/Unknown,32
03/01/2014,Minor Injury,15
03/02/2014,Possible/Unknown,21
03/02/2014,Minor Injury,6
03/02/2014,Property Damage Only,174
03/02/2014,Major Injury,3
03/03/2014,Major Injury,3
03/03/2014,Minor Injury,13
03/03/2014,Possible/Unknown,34
03/03/2014,Fatal,1
03/03/2014,Property Damage Only,175
03/04/2014,Possible/Unknown,24
03/04/2014,Fatal,2
03/04/2014,Property Damage Only,101
03/04/2014,Minor Injury,5
03/05/2014,Minor Injury,14
03/05/2014,Possible/Unknown,24
03/05/2014,Major Injury,1
03/05/2014,Property Damage Only,129
03/05/2014,Fatal,1
03/06/2014,Minor Injury,10
03/06/2014,Major Injury,4
03/06/2014,Property Damage Only,100
03/06/2014,Fatal,1
03/06/2014,Possible/Unknown,16
03/07/2014,Minor Injury,6
03/07/2014,Property Damage Only,100
03/07/2014,Possible/Unknown,26
03/07/2014,Major Injury,2
03/08/2014,Possible/Unknown,7
03/08/2014,Minor Injury,7
03/08/2014,Property Damage Only,62
03/09/2014,Possible/Unknown,9
03/09/2014,Fatal,1
03/09/2014,Property Damage Only,65
03/09/2014,Minor Injury,2
03/10/2014,Property Damage Only,76
03/10/2014,Minor Injury,17
03/10/2014,Possible/Unknown,11
03/10/2014,Major Injury,2
03/11/2014,Major Injury,3
03/11/2014,Property Damage Only,70
03/11/2014,Possible/Unknown,18
03/11/2014,Minor Injury,8
03/12/2014,Possible/Unknown,17
03/12/2014,Property Damage Only,70
03/12/2014,Minor Injury,5
03/13/2014,Property Damage Only,91
03/13/2014,Minor Injury,10
03/13/2014,Possible/Unknown,23
03/13/2014,Major Injury,2
03/14/2014,Possible/Unknown,26
03/14/2014,Property Damage Only,93
03/14/2014,Major Injury,1
03/14/2014,Minor Injury,12
03/15/2014,Possible/Unknown,18
03/15/2014,Property Damage Only,73
03/15/2014,Major Injury,4
03/15/2014,Minor Injury,9
03/16/2014,Property Damage Only,62
03/16/2014,Major Injury,1
03/16/2014,Minor Injury,3
03/16/2014,Possible/Unknown,18
03/17/2014,Property Damage Only,72
03/17/2014,Possible/Unknown,12
03/17/2014,Minor Injury,7
03/18/2014,Possible/Unknown,13
03/18/2014,Major Injury,3
03/18/2014,Minor Injury,10
03/18/2014,Property Damage Only,79
03/19/2014,Property Damage Only,63
03/19/2014,Minor Injury,5
03/19/2014,Possible/Unknown,15
03/19/2014,Major Injury,4
03/20/2014,Fatal,1
03/20/2014,Property Damage Only,87
03/20/2014,Possible/Unknown,21
03/20/2014,Minor Injury,15
03/21/2014,Possible/Unknown,15
03/21/2014,Property Damage Only,65
03/21/2014,Minor Injury,7
03/21/2014,Major Injury,1
03/22/2014,Possible/Unknown,10
03/22/2014,Major Injury,2
03/22/2014,Property Damage Only,66
03/22/2014,Minor Injury,8
03/23/2014,Minor Injury,6
03/23/2014,Major Injury,1
03/23/2014,Possible/Unknown,15
03/23/2014,Property Damage Only,45
03/24/2014,Minor Injury,21
03/24/2014,Major Injury,5
03/24/2014,Fatal,1
03/24/2014,Property Damage Only,150
03/24/2014,Possible/Unknown,19
03/25/2014,Minor Injury,8
03/25/2014,Major Injury,5
03/25/2014,Property Damage Only,94
03/25/2014,Fatal,1
03/25/2014,Possible/Unknown,26
03/26/2014,Possible/Unknown,14
03/26/2014,Major Injury,3
03/26/2014,Property Damage Only,73
03/26/2014,Minor Injury,9
03/27/2014,Major Injury,2
03/27/2014,Fatal,1
03/27/2014,Possible/Unknown,20
03/27/2014,Property Damage Only,95
03/27/2014,Minor Injury,12
03/28/2014,Major Injury,1
03/28/2014,Property Damage Only,84
03/28/2014,Possible/Unknown,19
03/28/2014,Minor Injury,12
03/29/2014,Fatal,4
03/29/2014,Property Damage Only,63
03/29/2014,Major Injury,3
03/29/2014,Minor Injury,12
03/29/2014,Possible/Unknown,10
03/30/2014,Minor Injury,11
03/30/2014,Possible/Unknown,12
03/30/2014,Property Damage Only,60
03/30/2014,Major Injury,6
03/31/2014,Property Damage Only,68
03/31/2014,Possible/Unknown,15
03/31/2014,Major Injury,1
03/31/2014,Minor Injury,10
04/01/2014,Property Damage Only,63
04/01/2014,Possible/Unknown,21
04/01/2014,Minor Injury,10
04/01/2014,Major Injury,3
04/02/2014,Major Injury,1
04/02/2014,Possible/Unknown,9
04/02/2014,Property Damage Only,75
04/02/2014,Minor Injury,5
04/03/2014,Possible/Unknown,21
04/03/2014,Major Injury,1
04/03/2014,Fatal,1
04/03/2014,Minor Injury,13
04/03/2014,Property Damage Only,96
04/04/2014,Possible/Unknown,24
04/04/2014,Minor Injury,7
04/04/2014,Major Injury,6
04/04/2014,Property Damage Only,113
04/05/2014,Major Injury,4
04/05/2014,Fatal,1
04/05/2014,Minor Injury,7
04/05/2014,Possible/Unknown,16
04/05/2014,Property Damage Only,72
04/06/2014,Major Injury,2
04/06/2014,Fatal,2
04/06/2014,Minor Injury,8
04/06/2014,Possible/Unknown,14
04/06/2014,Property Damage Only,53
04/07/2014,Minor Injury,15
04/07/2014,Property Damage Only,65
04/07/2014,Possible/Unknown,27
04/08/2014,Property Damage Only,78
04/08/2014,Minor Injury,9
04/08/2014,Major Injury,4
04/08/2014,Possible/Unknown,12
04/08/2014,Fatal,1
04/09/2014,Minor Injury,18
04/09/2014,Major Injury,5
04/09/2014,Property Damage Only,87
04/09/2014,Possible/Unknown,16
04/10/2014,Major Injury,3
04/10/2014,Fatal,1
04/10/2014,Minor Injury,10
04/10/2014,Property Damage Only,83
04/10/2014,Possible/Unknown,25
04/11/2014,Possible/Unknown,17
04/11/2014,Minor Injury,15
04/11/2014,Major Injury,3
04/11/2014,Property Damage Only,124
04/11/2014,Fatal,1
04/12/2014,Minor Injury,15
04/12/2014,Fatal,2
04/12/2014,Property Damage Only,80
04/12/2014,Possible/Unknown,17
04/12/2014,Major Injury,4
04/13/2014,Possible/Unknown,19
04/13/2014,Fatal,2
04/13/2014,Minor Injury,8
04/13/2014,Major Injury,7
04/13/2014,Property Damage Only,73
04/14/2014,Minor Injury,10
04/14/2014,Possible/Unknown,26
04/14/2014,Major Injury,5
04/14/2014,Property Damage Only,112
04/15/2014,Minor Injury,5
04/15/2014,Property Damage Only,91
04/15/2014,Possible/Unknown,19
04/15/2014,Major Injury,1
04/15/2014,Fatal,1
04/16/2014,Possible/Unknown,16
04/16/2014,Minor Injury,9
04/16/2014,Property Damage Only,85
04/16/2014,Major Injury,1
04/16/2014,Fatal,1
04/17/2014,Major Injury,1
04/17/2014,Possible/Unknown,19
04/17/2014,Property Damage Only,72
04/17/2014,Minor Injury,9
04/18/2014,Fatal,1
04/18/2014,Property Damage Only,101
04/18/2014,Possible/Unknown,23
04/18/2014,Minor Injury,14
04/18/2014,Major Injury,1
04/19/2014,Major Injury,6
04/19/2014,Fatal,1
04/19/2014,Possible/Unknown,24
04/19/2014,Minor Injury,14
04/19/2014,Property Damage Only,79
04/20/2014,Minor Injury,13
04/20/2014,Property Damage Only,64
04/20/2014,Fatal,1
04/20/2014,Major Injury,5
04/20/2014,Possible/Unknown,7
04/21/2014,Minor Injury,14
04/21/2014,Property Damage Only,71
04/21/2014,Major Injury,1
04/21/2014,Possible/Unknown,12
04/22/2014,Possible/Unknown,18
04/22/2014,Property Damage Only,64
04/22/2014,Major Injury,5
04/22/2014,Fatal,1
04/22/2014,Minor Injury,12
04/23/2014,Minor Injury,9
04/23/2014,Major Injury,2
04/23/2014,Property Damage Only,73
04/23/2014,Possible/Unknown,13
04/24/2014,Possible/Unknown,16
04/24/2014,Fatal,1
04/24/2014,Property Damage Only,101
04/24/2014,Major Injury,3
04/24/2014,Minor Injury,6
04/25/2014,Fatal,2
04/25/2014,Possible/Unknown,30
04/25/2014,Property Damage Only,110
04/25/2014,Major Injury,4
04/25/2014,Minor Injury,22
04/26/2014,Property Damage Only,77
04/26/2014,Possible/Unknown,15
04/26/2014,Fatal,1
04/26/2014,Minor Injury,14
04/26/2014,Major Injury,3
04/27/2014,Possible/Unknown,11
04/27/2014,Minor Injury,11
04/27/2014,Major Injury,3
04/27/2014,Property Damage Only,66
04/28/2014,Minor Injury,9
04/28/2014,Possible/Unknown,16
04/28/2014,Property Damage Only,72
04/28/2014,Major Injury,3
04/29/2014,Property Damage Only,79
04/29/2014,Possible/Unknown,21
04/29/2014,Minor Injury,8
04/30/2014,Property Damage Only,80
04/30/2014,Possible/Unknown,19
04/30/2014,Major Injury,5
04/30/2014,Minor Injury,14
05/01/2014,Possible/Unknown,23
05/01/2014,Minor Injury,3
05/01/2014,Major Injury,3
05/01/2014,Property Damage Only,74
05/02/2014,Possible/Unknown,24
05/02/2014,Property Damage Only,126
05/02/2014,Fatal,2
05/02/2014,Minor Injury,11
05/03/2014,Major Injury,1
05/03/2014,Possible/Unknown,19
05/03/2014,Fatal,1
05/03/2014,Property Damage Only,93
05/03/2014,Minor Injury,14
05/04/2014,Property Damage Only,56
05/04/2014,Minor Injury,6
05/04/2014,Major Injury,5
05/04/2014,Possible/Unknown,10
05/04/2014,Fatal,1
05/05/2014,Property Damage Only,75
05/05/2014,Minor Injury,11
05/05/2014,Fatal,2
05/05/2014,Possible/Unknown,21
05/05/2014,Major Injury,5
05/06/2014,Possible/Unknown,12
05/06/2014,Minor Injury,16
05/06/2014,Major Injury,2
05/06/2014,Property Damage Only,78
05/07/2014,Possible/Unknown,25
05/07/2014,Fatal,2
05/07/2014,Major Injury,5
05/07/2014,Minor Injury,13
05/07/2014,Property Damage Only,82
05/08/2014,Fatal,1
05/08/2014,Minor Injury,4
05/08/2014,Property Damage Only,96
05/08/2014,Possible/Unknown,23
05/08/2014,Major Injury,2
05/09/2014,Property Damage Only,105
05/09/2014,Major Injury,2
05/09/2014,Possible/Unknown,21
05/09/2014,Minor Injury,13
05/10/2014,Major Injury,5
05/10/2014,Property Damage Only,78
05/10/2014,Possible/Unknown,25
05/10/2014,Minor Injury,17
05/11/2014,Major Injury,3
05/11/2014,Possible/Unknown,25
05/11/2014,Property Damage Only,60
05/11/2014,Minor Injury,6
05/12/2014,Possible/Unknown,21
05/12/2014,Minor Injury,18
05/12/2014,Fatal,1
05/12/2014,Major Injury,6
05/12/2014,Property Damage Only,102
05/13/2014,Property Damage Only,66
05/13/2014,Minor Injury,9
05/13/2014,Fatal,2
05/13/2014,Possible/Unknown,18
05/13/2014,Major Injury,1
05/14/2014,Property Damage Only,77
05/14/2014,Minor Injury,9
05/14/2014,Fatal,1
05/14/2014,Possible/Unknown,14
05/14/2014,Major Injury,4
05/15/2014,Possible/Unknown,21
05/15/2014,Property Damage Only,93
05/15/2014,Major Injury,2
05/15/2014,Minor Injury,7
05/16/2014,Property Damage Only,103
05/16/2014,Major Injury,2
05/16/2014,Minor Injury,16
05/16/2014,Possible/Unknown,20
05/17/2014,Minor Injury,17
05/17/2014,Major Injury,5
05/17/2014,Possible/Unknown,20
05/17/2014,Property Damage Only,101
05/18/2014,Property Damage Only,75
05/18/2014,Major Injury,5
05/18/2014,Fatal,1
05/18/2014,Possible/Unknown,14
05/18/2014,Minor Injury,15
05/19/2014,Property Damage Only,83
05/19/2014,Major Injury,1
05/19/2014,Fatal,2
05/19/2014,Minor Injury,10
05/19/2014,Possible/Unknown,22
05/20/2014,Possible/Unknown,17
05/20/2014,Minor Injury,14
05/20/2014,Major Injury,2
05/20/2014,Property Damage Only,74
05/21/2014,Possible/Unknown,13
05/21/2014,Property Damage Only,96
05/21/2014,Major Injury,9
05/21/2014,Fatal,2
05/21/2014,Minor Injury,16
05/22/2014,Minor Injury,6
05/22/2014,Major Injury,3
05/22/2014,Possible/Unknown,25
05/22/2014,Property Damage Only,93
05/23/2014,Property Damage Only,107
05/23/2014,Fatal,2
05/23/2014,Possible/Unknown,29
05/23/2014,Minor Injury,10
05/23/2014,Major Injury,4
05/24/2014,Fatal,2
05/24/2014,Property Damage Only,81
05/24/2014,Possible/Unknown,19
05/24/2014,Minor Injury,12
05/24/2014,Major Injury,4
05/25/2014,Minor Injury,7
05/25/2014,Possible/Unknown,17
05/25/2014,Property Damage Only,72
05/25/2014,Major Injury,4
05/26/2014,Major Injury,4
05/26/2014,Property Damage Only,70
05/26/2014,Possible/Unknown,16
05/26/2014,Minor Injury,9
05/26/2014,Fatal,1
05/27/2014,Minor Injury,16
05/27/2014,Fatal,1
05/27/2014,Property Damage Only,90
05/27/2014,Major Injury,8
05/27/2014,Possible/Unknown,27
05/28/2014,Major Injury,3
05/28/2014,Possible/Unknown,14
05/28/2014,Property Damage Only,111
05/28/2014,Minor Injury,18
05/29/2014,Fatal,1
05/29/2014,Major Injury,4
05/29/2014,Possible/Unknown,19
05/29/2014,Property Damage Only,94
05/29/2014,Minor Injury,13
05/30/2014,Major Injury,5
05/30/2014,Property Damage Only,123
05/30/2014,Minor Injury,22
05/30/2014,Possible/Unknown,26
05/31/2014,Property Damage Only,96
05/31/2014,Major Injury,6
05/31/2014,Possible/Unknown,16
05/31/2014,Minor Injury,16
06/01/2014,Property Damage Only,76
06/01/2014,Possible/Unknown,15
06/01/2014,Minor Injury,12
06/01/2014,Major Injury,3
06/02/2014,Possible/Unknown,22
06/02/2014,Minor Injury,16
06/02/2014,Property Damage Only,97
06/02/2014,Major Injury,4
06/03/2014,Major Injury,5
06/03/2014,Property Damage Only,102
06/03/2014,Possible/Unknown,24
06/03/2014,Minor Injury,11
06/04/2014,Property Damage Only,86
06/04/2014,Minor Injury,12
06/04/2014,Major Injury,3
06/04/2014,Possible/Unknown,17
06/04/2014,Fatal,1
06/05/2014,Possible/Unknown,22
06/05/2014,Fatal,1
06/05/2014,Property Damage Only,95
06/05/2014,Minor Injury,21
06/05/2014,Major Injury,3
06/06/2014,Minor Injury,21
06/06/2014,Possible/Unknown,18
06/06/2014,Property Damage Only,120
06/06/2014,Major Injury,12
06/06/2014,Fatal,2
06/07/2014,Minor Injury,15
06/07/2014,Possible/Unknown,23
06/07/2014,Major Injury,4
06/07/2014,Property Damage Only,105
06/08/2014,Possible/Unknown,13
06/08/2014,Major Injury,2
06/08/2014,Minor Injury,9
06/08/2014,Property Damage Only,62
06/08/2014,Fatal,3
06/09/2014,Possible/Unknown,17
06/09/2014,Minor Injury,14
06/09/2014,Major Injury,3
06/09/2014,Fatal,1
06/09/2014,Property Damage Only,97
06/10/2014,Possible/Unknown,22
06/10/2014,Property Damage Only,83
06/10/2014,Minor Injury,16
06/10/2014,Major Injury,3
06/11/2014,Property Damage Only,101
06/11/2014,Possible/Unknown,29
06/11/2014,Major Injury,4
06/11/2014,Minor Injury,11
06/11/2014,Fatal,1
06/12/2014,Minor Injury,19
06/12/2014,Possible/Unknown,17
06/12/2014,Property Damage Only,108
06/12/2014,Major Injury,4
06/13/2014,Minor Injury,20
06/13/2014,Possible/Unknown,26
06/13/2014,Fatal,1
06/13/2014,Major Injury,4
06/13/2014,Property Damage Only,124
06/14/2014,Fatal,1
06/14/2014,Minor Injury,16
06/14/2014,Property Damage Only,81
06/14/2014,Major Injury,5
06/14/2014,Possible/Unknown,19
06/15/2014,Major Injury,6
06/15/2014,Minor Injury,13
06/15/2014,Property Damage Only,78
06/15/2014,Possible/Unknown,17
06/16/2014,Property Damage Only,100
06/16/2014,Minor Injury,12
06/16/2014,Possible/Unknown,24
06/16/2014,Major Injury,8
06/16/2014,Fatal,2
06/17/2014,Possible/Unknown,15
06/17/2014,Property Damage Only,100
06/17/2014,Major Injury,2
06/17/2014,Minor Injury,16
06/18/2014,Fatal,1
06/18/2014,Property Damage Only,101
06/18/2014,Minor Injury,10
06/18/2014,Major Injury,4
06/18/2014,Possible/Unknown,22
06/19/2014,Possible/Unknown,22
06/19/2014,Fatal,1
06/19/2014,Major Injury,3
06/19/2014,Minor Injury,8
06/19/2014,Property Damage Only,111
06/20/2014,Fatal,1
06/20/2014,Major Injury,3
06/20/2014,Possible/Unknown,20
06/20/2014,Minor Injury,25
06/20/2014,Property Damage Only,109
06/21/2014,Property Damage Only,85
06/21/2014,Fatal,1
06/21/2014,Major Injury,5
06/21/2014,Minor Injury,17
06/21/2014,Possible/Unknown,22
06/22/2014,Minor Injury,13
06/22/2014,Possible/Unknown,15
06/22/2014,Major Injury,5
06/22/2014,Property Damage Only,64
06/23/2014,Property Damage Only,98
06/23/2014,Major Injury,4
06/23/2014,Fatal,1
06/23/2014,Minor Injury,13
06/23/2014,Possible/Unknown,17
06/24/2014,Fatal,1
06/24/2014,Major Injury,3
06/24/2014,Possible/Unknown,22
06/24/2014,Property Damage Only,76
06/24/2014,Minor Injury,15
06/25/2014,Minor Injury,12
06/25/2014,Property Damage Only,97
06/25/2014,Major Injury,2
06/25/2014,Possible/Unknown,13
06/26/2014,Minor Injury,20
06/26/2014,Possible/Unknown,16
06/26/2014,Property Damage Only,87
06/26/2014,Fatal,2
06/26/2014,Major Injury,2
06/27/2014,Major Injury,1
06/27/2014,Minor Injury,24
06/27/2014,Property Damage Only,116
06/27/2014,Possible/Unknown,31
06/28/2014,Property Damage Only,79
06/28/2014,Fatal,2
06/28/2014,Possible/Unknown,14
06/28/2014,Minor Injury,15
06/28/2014,Major Injury,5
06/29/2014,Minor Injury,10
06/29/2014,Property Damage Only,75
06/29/2014,Fatal,1
06/29/2014,Possible/Unknown,14
06/29/2014,Major Injury,5
06/30/2014,Property Damage Only,122
06/30/2014,Minor Injury,14
06/30/2014,Major Injury,4
06/30/2014,Fatal,1
06/30/2014,Possible/Unknown,24
07/01/2014,Major Injury,4
07/01/2014,Property Damage Only,101
07/01/2014,Minor Injury,7
07/01/2014,Possible/Unknown,27
07/02/2014,Major Injury,2
07/02/2014,Fatal,2
07/02/2014,Possible/Unknown,15
07/02/2014,Property Damage Only,88
07/02/2014,Minor Injury,18
07/03/2014,Possible/Unknown,23
07/03/2014,Minor Injury,24
07/03/2014,Fatal,3
07/03/2014,Property Damage Only,132
07/03/2014,Major Injury,7
07/04/2014,Fatal,1
07/04/2014,Possible/Unknown,19
07/04/2014,Property Damage Only,77
07/04/2014,Minor Injury,13
07/04/2014,Major Injury,5
07/05/2014,Major Injury,7
07/05/2014,Minor Injury,10
07/05/2014,Property Damage Only,79
07/05/2014,Fatal,1
07/05/2014,Possible/Unknown,17
07/06/2014,Fatal,2
07/06/2014,Major Injury,4
07/06/2014,Minor Injury,15
07/06/2014,Property Damage Only,72
07/06/2014,Possible/Unknown,7
07/07/2014,Minor Injury,14
07/07/2014,Fatal,1
07/07/2014,Property Damage Only,96
07/07/2014,Possible/Unknown,30
07/07/2014,Major Injury,7
07/08/2014,Major Injury,1
07/08/2014,Minor Injury,13
07/08/2014,Possible/Unknown,19
07/08/2014,Property Damage Only,101
07/08/2014,Fatal,1
07/09/2014,Property Damage Only,83
07/09/2014,Minor Injury,10
07/09/2014,Major Injury,3
07/09/2014,Possible/Unknown,30
07/10/2014,Property Damage Only,96
07/10/2014,Fatal,2
07/10/2014,Major Injury,6
07/10/2014,Minor Injury,15
07/10/2014,Possible/Unknown,15
07/11/2014,Major Injury,2
07/11/2014,Property Damage Only,99
07/11/2014,Minor Injury,15
07/11/2014,Fatal,1
07/11/2014,Possible/Unknown,19
07/12/2014,Property Damage Only,73
07/12/2014,Possible/Unknown,14
07/12/2014,Minor Injury,14
07/12/2014,Major Injury,5
07/13/2014,Property Damage Only,72
07/13/2014,Major Injury,6
07/13/2014,Fatal,1
07/13/2014,Minor Injury,13
07/13/2014,Possible/Unknown,20
